nc_house_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
094,7211,28689,17321,211,53432,0.20086350974930361,0.7991364902506963,0.3241690372810301,0.0039489444527623895
095,10069,25221,25897,407,61594,0.2853216208557665,0.7146783791442335,0.4204467967659188,0.00660778647270838
096,9910,22463,20995,309,53677,0.306119296944985,0.693880703055015,0.3911358682489707,0.005756655550794567
097,9659,30962,21471,354,62446,0.2377834125206174,0.7622165874793826,0.34383307177401273,0.005668897927809628
098,14473,19154,26817,388,60832,0.4303981919291046,0.5696018080708954,0.44083705944239876,0.006378221988427144
099,22106,3349,17274,286,43015,0.8684344922412099,0.13156550775879003,0.4015808438916657,0.006648843426711612
100,16962,9710,18822,343,45837,0.6359478104379124,0.36405218956208757,0.410628967864389,0.0074830377206187145
101,22613,8546,19689,339,51187,0.7257293237908791,0.27427067620912093,0.3846484458944654,0.006622775314044582
102,21951,8074,24404,417,54846,0.7310907577019151,0.26890924229808494,0.44495496481056046,0.0076031068810852205
103,14918,13783,24434,357,53492,0.5197728302149751,0.4802271697850249,0.4567785837134525,0.006673895161893368
104,15775,15937,24987,327,57026,0.4974457618567104,0.5025542381432896,0.43816855469434995,0.00573422649317855
105,15100,20817,26443,359,62719,0.42041373165910295,0.5795862683408971,0.42161067619062803,0.005723943302667453
106,27174,7539,22024,329,57066,0.7828191167574108,0.21718088324258925,0.3859390880734588,0.0057652542669891
107,29757,5533,20202,354,55846,0.8432133748937376,0.1567866251062624,0.36174479819503635,0.00633886043763206
108,12012,22285,18640,391,53328,0.3502347144065079,0.6497652855934921,0.3495349534953495,0.007331983198319832
109,14461,21889,20659,401,57410,0.39782668500687757,0.6021733149931224,0.3598502003135342,0.006984845845671486
110,13445,20648,16510,264,50867,0.3943624791012818,0.6056375208987183,0.32457192285764835,0.005190005307959974
111,10458,23554,16817,304,51133,0.3074797130424556,0.6925202869575444,0.3288874112608296,0.005945279956192674
112,24639,5519,17679,336,48173,0.8169971483520128,0.18300285164798727,0.366989807568555,0.00697486143690449
113,11082,25779,24262,324,61447,0.3006429559697241,0.6993570440302759,0.39484433739645547,0.005272836753625075
114,19071,15306,28963,441,63781,0.5547604503010733,0.4452395496989266,0.4541007510073533,0.0069142848183628355
115,16299,17238,25735,397,59669,0.4860005367206369,0.5139994632793631,0.43129598283865994,0.006653371097219662
116,26382,6083,27085,476,60026,0.8126289850608347,0.18737101493916525,0.45122113750708026,0.007929897044614
117,11945,21976,28176,430,62527,0.35214174110433066,0.6478582588956694,0.45062133158475537,0.006877029123418683
118,13752,20175,23829,376,58132,0.40534087894597226,0.5946591210540277,0.40991192458542625,0.006468038257758205
119,13378,18200,25988,372,57938,0.4236493761479511,0.5763506238520489,0.4485484483413304,0.006420656563913148
120,8126,30370,22383,326,61205,0.21108686616791356,0.7889131338320865,0.3657054162241647,0.005326362225308389
