DISTRICT,population,pop_dev,pop_score,area,perimeter,pp,compactness_score,Fairness,grade
30,164509,0.0392824854767557,0.607175145232443,99445627.36769977,66831.1108688627,0.27979387035405856,0.5595877407081171,0.5881401834227127,C
31,217920,0.27263286972083833,0.0,211306318.43027997,74331.6996989771,0.4805894358851487,0.9611788717702974,0.38447154870811895,F
32,153586,0.10307180649346237,0.0,1805382147.8910658,226515.38563867373,0.44216421924636296,0.8843284384927259,0.3537313753970904,F
33,213541,0.24705991021043294,0.0,196674377.3777007,93496.08654280737,0.282729276570071,0.565458553140142,0.22618342125605684,F
34,181611,0.06059163042800649,0.39408369571993507,70636465.55582389,53009.518697259344,0.3158865263977304,0.6317730527954608,0.4891594385501454,D
35,257605,0.5043896402553073,0.0,427005370.97273034,161177.80975534348,0.20655356831918095,0.4131071366383619,0.16524285465534477,F
36,172603,0.0079857342714109,0.9201426572858911,161557421.7309618,77002.14530074563,0.34239792801991964,0.6847958560398393,0.8260039367874703,B
37,205566,0.20048663957889987,0.0,297037219.0915895,102578.15612665885,0.3547406503421243,0.7094813006842486,0.28379252027369944,F
38,206151,0.20390298607663615,0.0,80536525.23308335,57850.887913706625,0.3024006316002729,0.6048012632005458,0.24192050528021836,F
39,182750,0.06724328625864175,0.32756713741358257,313103875.5750747,124475.62777327879,0.2539391472384224,0.5078782944768448,0.3996916002388875,F
40,158473,0.07453217344314236,0.2546782655685764,107257264.92668717,60491.27708964649,0.3683418588072142,0.7366837176144284,0.44748044638691725,D
41,181354,0.059090773932419786,0.4090922606758022,121023072.60051316,67966.72418542317,0.3292193564870596,0.6584387129741192,0.5088308415951289,D
42,205150,0.19805723762495406,0.0,269332449.96220136,110662.27645470641,0.2763753756035967,0.5527507512071934,0.22110030048287738,F
43,196174,0.14563821854173892,0.0,1195527802.0374215,223205.32178977577,0.30155077845871736,0.6031015569174347,0.2412406227669739,F
44,165656,0.03258411037777533,0.6741588962222467,108620525.88537244,60518.94089562455,0.37268260880261417,0.7453652176052283,0.7026414247754393,B
45,153227,0.10516833366044925,0.0,131968798.84316851,67267.50187207559,0.36649708848191204,0.7329941769638241,0.29319767078552966,F
46,155193,0.09368707346463809,0.06312926535361918,3463464260.0023394,446813.2911469256,0.21800598051685882,0.43601196103371764,0.21228234362565856,F
47,110949,0.3520679870472775,0.0,1468528196.8183203,205417.28777739292,0.4373389644639189,0.8746779289278378,0.3498711715711351,F
48,182499,0.06577746921431388,0.3422253078568612,1844853061.0973225,229138.65940188945,0.441544937167357,0.883089874334714,0.5585711344480023,C
49,176667,0.03171912259072756,0.6828087740927244,81962385.72647274,59637.995295245,0.28958654694482955,0.5791730938896591,0.6413545020114984,C
50,228860,0.33652146918277837,0.0,2003447799.929437,262679.88105720095,0.36486673751320137,0.7297334750264027,0.2918933900105611,F
51,195539,0.1419298766168457,0.0,1271650357.6025143,237560.57869074494,0.28315799773109895,0.5663159954621979,0.22652639818487919,F
52,131412,0.2325659385290253,0.0,1609147442.0026205,306813.4599878396,0.21481118288002735,0.4296223657600547,0.1718489463040219,F
