OBJECTID,ID,AREA,DISTRICT,MEMBERS,LOCKED,NAME,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,DISTRICT_L,DISTRICT_I,MULTIPLE_F,Shape__Area,Shape__Length
88,120,181.78389,BEN-1,1, ,Bennington-1,4413,4287,126,0.029391,BEN-1|2.94%,0,BEN-1|2.94%|4413|1.0,471625280.185304,114426.907309226
89,123,32.708176,CHI-6,1, ,Chittenden-6,4261,4287,-26,-0.006065,CHI-6|-0.61%,0,CHI-6|-0.61%|4261|1.0,84892955.181572,41129.6029743593
90,124,15.900849,CHI-7,1, ,Chittenden-7,4250,4287,-37,-0.008631,CHI-7|-0.86%,0,CHI-7|-0.86%|4250|1.0,41269169.8610001,30773.3561916179
91,127,23.8088,CHI-2,2, ,Chittenden-2,9293,8574,719,0.083858,CHI-2|8.39%,0,CHI-2|8.39%|9293|2.0,61793301.8536911,44115.5709516149
92,128,1.509689,CHI-21,2, ,Chittenden-21,7997,8574,-577,-0.067296,CHI-21|-6.73%,0,CHI-21|-6.73%|7997|2.0,3918369.62200165,9261.6319982781
93,129,29.98727,CHI-19,2, ,Chittenden-19,8707,8574,133,0.015512,CHI-19|1.55%,0,CHI-19|1.55%|8707|2.0,77833710.0740891,57571.9737675245
94,131,83.37645,FRA-1,2, ,Franklin-1,8949,8574,375,0.043737,FRA-1|4.37%,0,FRA-1|4.37%|8949|2.0,216408517.768173,68732.5958050607
95,132,3.224165,FRA-8,1, ,Franklin-8,4631,4287,344,0.080243,FRA-8|8.02%,0,FRA-8|8.02%|4631|1.0,8368673.60930634,15825.4542396545
96,134,1.328311,FRA-3,1, ,Franklin-3,4622,4287,335,0.078143,FRA-3|7.81%,0,FRA-3|7.81%|4622|1.0,3447796.22746277,10455.7436638751
97,136,57.987797,FRA-2,1, ,Franklin-2,4612,4287,325,0.075811,FRA-2|7.58%,0,FRA-2|7.58%|4612|1.0,150516336.009789,77942.061684073
98,137,4.137259,CHI-22,2, ,Chittenden-22,9133,8574,559,0.065197,CHI-22|6.52%,0,CHI-22|6.52%|9133|2.0,10738016.3939819,19782.5732766071
99,138,7.75445,CHI-23,2, ,Chittenden-23,8687,8574,113,0.013179,CHI-23|1.32%,0,CHI-23|1.32%|8687|2.0,20126198.5168533,34539.5438531031
100,141,27.452671,CHI-24,1, ,Chittenden-24,4274,4287,-13,-0.003032,CHI-24|-0.3%,0,CHI-24|-0.3%|4274|1.0,71251673.5194778,43663.6756052736
101,144,2.286315,CHI-18,2, ,Chittenden-18,8315,8574,-259,-0.030208,CHI-18|-3.02%,0,CHI-18|-3.02%|8315|2.0,5934217.76398468,15997.3734539816
102,145,1.747537,CHI-11,1, ,Chittenden-11,4066,4287,-221,-0.051551,CHI-11|-5.16%,0,CHI-11|-5.16%|4066|1.0,4535662.93802643,11515.4276363644
103,146,15.957803,CHI-12,1, ,Chittenden-12,4627,4287,340,0.07931,CHI-12|7.93%,0,CHI-12|7.93%|4627|1.0,41418722.7610626,44737.6449872976
104,147,4.329388,CHI-10,1, ,Chittenden-10,4170,4287,-117,-0.027292,CHI-10|-2.73%,0,CHI-10|-2.73%|4170|1.0,11236735.6538239,21688.4432170477
105,148,2.426811,CHI-9,1, ,Chittenden-9,4009,4287,-278,-0.064847,CHI-9|-6.48%,0,CHI-9|-6.48%|4009|1.0,6298647.66655731,16048.5692715029
106,153,12.145387,CHI-8,1, ,Chittenden-8,4230,4287,-57,-0.013296,CHI-8|-1.33%,0,CHI-8|-1.33%|4230|1.0,31522266.2247925,33922.5431221749
107,183,0.525102,CHI-14,2, ,Chittenden-14,8185,8574,-389,-0.04537,CHI-14|-4.54%,0,CHI-14|-4.54%|8185|2.0,1362892.01272583,6006.89207614845
108,184,4.089659,CHI-13,2, ,Chittenden-13,7982,8574,-592,-0.069046,CHI-13|-6.9%,0,CHI-13|-6.9%|7982|2.0,10614623.1267624,15663.8515232221
109,191,74.508301,RUT-1,1, ,Rutland-1,4047,4287,-240,-0.055983,RUT-1|-5.6%,0,RUT-1|-5.6%|4047|1.0,193342484.731453,89459.9341368007
