county_id,precinct_abbrv,dem_reg,rep_reg,unaff_reg,other_reg,total_reg,dem_share_2p_reg,rep_share_2p_reg,unaff_share_all,other_share_all
12,0039,473,523,639,11,1646,0.4748995983935743,0.5251004016064257,0.3882138517618469,0.006682867557715674
12,0040,304,634,638,9,1585,0.32409381663113007,0.67590618336887,0.4025236593059937,0.0056782334384858045
12,0047-A,511,570,663,4,1748,0.4727104532839963,0.5272895467160037,0.3792906178489702,0.002288329519450801
12,0047-B,245,483,499,9,1236,0.33653846153846156,0.6634615384615384,0.40372168284789645,0.007281553398058253
12,0048,414,732,692,10,1848,0.3612565445026178,0.6387434554973822,0.37445887445887444,0.005411255411255411
12,0051,585,1252,1193,10,3040,0.3184540010887316,0.6815459989112683,0.3924342105263158,0.003289473684210526
12,0052,246,531,411,12,1200,0.3166023166023166,0.6833976833976834,0.3425,0.01
12,0062,132,353,298,2,785,0.2721649484536082,0.7278350515463917,0.3796178343949045,0.0025477707006369425
12,0064,104,332,301,5,742,0.23853211009174313,0.7614678899082569,0.4056603773584906,0.006738544474393531
12,0066,344,865,632,6,1847,0.28453267162944584,0.7154673283705542,0.3421765024363833,0.0032485110990795887
12,0070,423,973,902,8,2306,0.3030085959885387,0.6969914040114613,0.391153512575889,0.003469210754553339
12,0071,264,976,818,12,2070,0.2129032258064516,0.7870967741935484,0.39516908212560387,0.005797101449275362
12,0072,417,1423,1138,28,3006,0.2266304347826087,0.7733695652173913,0.37857618097139056,0.009314703925482368
13,,11,8,12,0,31,0.5789473684210527,0.42105263157894735,0.3870967741935484,0.0
13,01-02,614,1238,1164,23,3039,0.33153347732181426,0.6684665226781857,0.3830207305034551,0.007568279039157618
13,01-04,1739,1595,2591,38,5963,0.5215956808638272,0.47840431913617276,0.43451282911286265,0.006372631225893007
13,01-07,578,1039,1125,13,2755,0.35745207173778604,0.642547928262214,0.40834845735027225,0.004718693284936479
13,01-08,1678,1384,2089,42,5193,0.5480078380143697,0.4519921619856303,0.40227228962064315,0.008087810514153668
13,01-10,792,908,1289,18,3007,0.46588235294117647,0.5341176470588235,0.4286664449617559,0.005986032590621883
13,01-11,1227,1366,1953,18,4564,0.47319706903200925,0.5268029309679907,0.4279141104294479,0.003943908851884312
13,02-01,936,1161,1302,21,3420,0.44635193133047213,0.5536480686695279,0.38070175438596493,0.0061403508771929825
13,02-02,1206,1287,1683,24,4200,0.48375451263537905,0.516245487364621,0.4007142857142857,0.005714285714285714
13,02-03,1785,1950,2409,35,6179,0.4779116465863454,0.5220883534136547,0.38986891082699465,0.005664346981712251
13,02-05,1066,1465,1610,23,4164,0.42117740023706046,0.5788225997629396,0.3866474543707973,0.005523535062439962
13,02-06,1144,807,1268,22,3241,0.5863659661711943,0.41363403382880576,0.3912372724467757,0.006788028386300524
13,02-07,774,1144,1307,18,3243,0.4035453597497393,0.5964546402502607,0.40302189330866484,0.005550416281221091
13,02-08,2114,1893,3362,50,7419,0.5275767407037684,0.4724232592962316,0.4531608033427686,0.0067394527564361775
13,02-09,2202,1598,3665,39,7504,0.5794736842105264,0.4205263157894737,0.48840618336886993,0.005197228144989339
13,03-00,1193,2207,2264,32,5696,0.3508823529411765,0.6491176470588236,0.39747191011235955,0.0056179775280898875
13,04-01,912,807,1121,25,2865,0.5305410122164049,0.4694589877835951,0.3912739965095986,0.008726003490401396
13,04-03,894,867,852,21,2634,0.5076660988074957,0.49233390119250425,0.3234624145785877,0.007972665148063782
13,04-08,605,614,825,13,2057,0.4963084495488105,0.5036915504511895,0.40106951871657753,0.006319883325230919
13,04-09,1057,1633,1538,36,4264,0.3929368029739777,0.6070631970260223,0.3606941838649156,0.008442776735459663
13,04-11,962,978,1131,32,3103,0.49587628865979383,0.5041237113402062,0.3644859813084112,0.0103126007089913
13,04-12,1564,1058,1528,35,4185,0.5964912280701754,0.40350877192982454,0.3651135005973716,0.008363201911589008
13,04-13,1221,1872,1786,34,4913,0.3947623666343356,0.6052376333656644,0.36352534093222066,0.006920415224913495
13,05-00,371,1361,877,20,2629,0.21420323325635104,0.785796766743649,0.33358691517687333,0.007607455306200076
13,06-00,182,1216,676,6,2080,0.1301859799713877,0.8698140200286123,0.325,0.0028846153846153848
13,07-00,96,777,373,9,1255,0.10996563573883161,0.8900343642611683,0.2972111553784861,0.007171314741035857
13,08-00,433,2098,1388,20,3939,0.1710786250493876,0.8289213749506124,0.35237369890835235,0.005077430820005078
13,09-00,291,1494,930,12,2727,0.16302521008403362,0.8369747899159664,0.341034103410341,0.0044004400440044
13,10-00,1033,2832,1987,32,5884,0.26727037516170765,0.7327296248382924,0.3376954452753229,0.005438477226376614
13,11-01,1755,1315,2099,40,5209,0.5716612377850163,0.42833876221498374,0.402956421578038,0.007679017085813016
13,11-02,634,1373,1291,20,3318,0.3158943697060289,0.6841056302939711,0.38908981314044605,0.006027727546714889
13,12-03,488,638,733,8,1867,0.433392539964476,0.566607460035524,0.39260846277450456,0.004284949116229245
13,12-04,743,670,973,28,2414,0.5258315640481246,0.47416843595187547,0.40306545153272577,0.0115990057995029
13,12-05,405,734,819,18,1976,0.3555750658472344,0.6444249341527656,0.4144736842105263,0.009109311740890687
13,12-08,428,391,487,10,1316,0.5225885225885226,0.47741147741147744,0.3700607902735562,0.007598784194528876
13,12-09,703,892,1053,16,2664,0.4407523510971787,0.5592476489028213,0.3952702702702703,0.006006006006006006
13,12-11,426,433,623,11,1493,0.4959254947613504,0.5040745052386496,0.4172806430006698,0.007367716008037508
13,12-12,493,625,787,11,1916,0.4409660107334526,0.5590339892665475,0.41075156576200417,0.005741127348643006
13,12-13,1539,569,1266,40,3414,0.7300759013282733,0.26992409867172673,0.37082601054481545,0.011716461628588167
